config,cv_train_qwk,cv_val_qwk,cv_train_mae,cv_val_mae,cv_train_macro_f1,cv_val_macro_f1,cv_train_bacc,cv_val_bacc,cv_train_roc_auc,cv_val_roc_auc,test_qwk,test_mae,test_macro_f1,test_bacc,test_roc_auc
"{'widths': [256, 128], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.934407039975089,0.9355934772756374,0.14656249999999998,0.1375,0.8578590783128093,0.8681519853862539,0.8669065070768458,0.8782796004185919,0.981892404645191,0.979288414752731,0.962295317437518,0.105,0.8838166976444746,0.8935897435897436,0.9908421714785013
"{'widths': [164, 82], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.9304931310289366,0.9335024553364635,0.15625,0.14875,0.8480415236385956,0.857134582930765,0.857366472217627,0.8655094903294271,0.9751432422199292,0.9750556964814248,0.9559859154929577,0.125,0.863122096881221,0.8649321266968326,0.9811839495400723
"{'widths': [200, 100], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.9268388325675682,0.9334810127026548,0.1646875,0.1525,0.8349921626122686,0.8483300552222497,0.8474676239364566,0.8591396505771911,0.9759679823076534,0.9735424607615855,0.9520578256379997,0.13,0.859630560843576,0.8683760683760684,0.9880241260481942
"{'widths': [128, 64], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.9204379468052913,0.9238905570175939,0.1896875,0.1875,0.8003440160245467,0.7951150475134963,0.8085947419904521,0.8073624856784829,0.9642115813851599,0.9629118509327931,0.9410377358490566,0.17,0.8136903746659844,0.8285067873303167,0.9824428513622596
"{'widths': [84, 42], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.9117078298214046,0.9104533083627745,0.21156249999999996,0.205,0.7760557907830766,0.7825802875730322,0.7878521479254526,0.7961070566632277,0.9513371448953485,0.9464025547083166,0.9513127524523947,0.135,0.854433400631568,0.8529160382101559,0.9765678882962493
"{'widths': [100, 50], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.8840544363227292,0.8865276621410111,0.2821875,0.27875,0.6807663960762771,0.68661523139471,0.7190083144173082,0.7210807385150191,0.9429505291110761,0.9365539151373063,0.9411273169249468,0.155,0.835405246866471,0.8336601307189543,0.9714214813744777
"{'widths': [64, 32], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.8563116206940599,0.8627596247659477,0.32218749999999996,0.3175,0.6526029006083778,0.6495272006848711,0.6759217670179345,0.6725751899130173,0.9078387675770904,0.8983662486777673,0.9489409984871406,0.135,0.8611821883925984,0.8719205630970337,0.9715397531783592
"{'widths': [24, 12], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.7267293470872501,0.749764900928783,0.5325,0.4999999999999999,0.46935311917218997,0.48980414758766144,0.5232393974595689,0.5476206064165261,0.8117975558167719,0.8164615853295993,0.6514017319829737,0.68,0.4341996233736503,0.464228255404726,0.8204283895237197
"{'widths': [48, 24], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.7033465210523586,0.7185570136755793,0.48656250000000006,0.49250000000000005,0.5330611934947307,0.5264122442645233,0.6037733808099532,0.5929362119855507,0.846352203979667,0.848612630762285,0.8771407297096053,0.3,0.6095457646484592,0.6585972850678733,0.8953198550583588
"{'widths': [40, 20], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.6987522073317154,0.718453513682008,0.5731249999999999,0.54375,0.48188885497169737,0.5008147486943055,0.5318404222780847,0.5531976557974788,0.7891194301917439,0.7933936464594062,0.7639963288317818,0.51,0.49046650059380703,0.5336601307189542,0.9078984108988056
"{'widths': [28, 14], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.48829770716282717,0.5192813229901108,0.6918749999999999,0.67375,0.39794929226386744,0.41240229511322835,0.4517952607003995,0.45806768759464933,0.7532859468671417,0.7564142911740458,0.8210372534696859,0.42,0.5032563025210084,0.5565862242332831,0.8123271427972183
"{'widths': [8, 4], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.43851771687074736,0.43035225712449565,0.9165625000000001,0.9225000000000001,0.27411049028335954,0.27094829462504516,0.37284191856491944,0.3705710262673573,0.674636555969606,0.6792161501928581,0.11367795059469343,1.06,0.12978177150192555,0.2012820512820513,0.6529068151881684
"{'widths': [32, 16], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.39156753857136345,0.3739880095116092,0.89125,0.925,0.26956282111302116,0.2529861047090277,0.3817076879199789,0.36267079455296813,0.573653060490745,0.5649363966860812,0.9232800456751356,0.215,0.7450938168453997,0.7497486173956762,0.9123338064272013
"{'widths': [16, 8], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.24564426331394254,0.26092704826112734,0.9290624999999999,0.9075000000000001,0.30065772488864123,0.3160764956807883,0.371279337694589,0.3838693825854381,0.6564714128144633,0.668847364267936,0.16591726618705038,0.985,0.2935814455231931,0.41732026143790846,0.7901139562197995
"{'widths': [4, 2], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.23724830482835416,0.24882657694711416,1.1509375,1.1375,0.16592865848590033,0.17446718750553553,0.27678630364511647,0.28441138253638254,0.574892396453633,0.5934564196737615,0.1205245628642796,1.02,0.2162613257033858,0.3179738562091503,0.8166794880418138
"{'widths': [20, 10], 'optimizer': 'adamw', 'activation': 'relu', 'lr': 1e-05}",0.20976197799834728,0.20203733416269493,1.17,1.17875,0.2535495576296547,0.254864793577017,0.33822401641722755,0.33294199677692293,0.6529685197693722,0.6576375486345977,0.7186254980079682,0.565,0.39993493214352105,0.50359477124183,0.8259395538182479
