config,cv_train_qwk,cv_val_qwk,cv_train_mae,cv_val_mae,cv_train_macro_f1,cv_val_macro_f1,cv_train_bacc,cv_val_bacc,cv_train_roc_auc,cv_val_roc_auc,test_qwk,test_mae,test_macro_f1,test_bacc,test_roc_auc
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [164, 328], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.95278469,0.95991251,0.0953125,0.08,0.911941547,0.925953111,0.913868463,0.927783518,0.989861782,0.988918022,0.967953552,0.085,0.910009282,0.912694822,0.991570761
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [100, 200], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.952136698,0.959683352,0.0978125,0.0825,0.9091246,0.924185098,0.910983552,0.926010721,0.990326363,0.988475126,0.973472791,0.07,0.925346491,0.929361488,0.993663364
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [128, 256], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.95075412,0.959150612,0.101875,0.08375,0.903368225,0.922446894,0.903952348,0.92357066,0.988767445,0.98666195,0.969678593,0.08,0.916433074,0.921870287,0.993762902
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [84, 168], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.951970405,0.958616536,0.0984375,0.085,0.90825781,0.921708844,0.910459979,0.923575279,0.989680374,0.987623806,0.977764601,0.06,0.935876099,0.939617898,0.99431002
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [120, 240], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.955204378,0.957775234,0.0890625,0.085,0.918920234,0.920463086,0.921455269,0.9225603,0.991570484,0.989875892,0.971749284,0.075,0.920473475,0.924660633,0.993593535
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [40, 80], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.95000386,0.957262281,0.1040625,0.09125,0.902039569,0.913015336,0.903896971,0.914890378,0.988074512,0.988568909,0.973192402,0.07,0.926184131,0.928255405,0.995259291
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [8, 16], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.945804737,0.957249628,0.115625,0.08875,0.888341026,0.916372484,0.888379384,0.916742376,0.986598562,0.986722798,0.97148289,0.075,0.920622043,0.925515334,0.995457569
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [64, 128], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.951427354,0.95655484,0.1003125,0.08625,0.906054868,0.921017414,0.908176136,0.922845256,0.98882728,0.988025917,0.967247226,0.085,0.909518632,0.911186526,0.99251752
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [16, 32], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.949858155,0.956421257,0.106875,0.09125,0.89816434,0.914101539,0.898974394,0.91360024,0.986841849,0.987012443,0.969507547,0.08,0.916286491,0.921015586,0.995097087
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [24, 48], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.949079693,0.956363397,0.1075,0.09125,0.897746865,0.914193063,0.898599379,0.915041747,0.988006476,0.986630947,0.969797644,0.08,0.914347718,0.919557567,0.995111151
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [48, 96], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.951103283,0.956214785,0.10125,0.09125,0.904877049,0.914873284,0.906777491,0.9164876,0.988470592,0.987356998,0.965800274,0.09,0.902450542,0.908044243,0.993103004
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [4, 8], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.949126615,0.955687093,0.1078125,0.0925,0.898080901,0.913591394,0.899646947,0.916774805,0.987807134,0.986355721,0.973596862,0.07,0.925578845,0.929361488,0.995311488
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [32, 64], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.948205144,0.955511116,0.1096875,0.09375,0.896102658,0.911757782,0.89744983,0.91194502,0.987409657,0.986067122,0.969797644,0.08,0.914347718,0.919557567,0.995048064
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [12, 24], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.951764473,0.95541937,0.1009375,0.0925,0.905120588,0.913868125,0.906864979,0.915064177,0.987773143,0.988312988,0.975311455,0.065,0.929414157,0.93149824,0.993975618
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [20, 40], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.947808116,0.954979072,0.11,0.09375,0.895985203,0.912862218,0.899626743,0.914885672,0.987437589,0.987027118,0.970082274,0.08,0.912819343,0.915937657,0.994438917
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [28, 56], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.95007589,0.954617941,0.105625,0.0975,0.900034301,0.906565332,0.902168104,0.908044992,0.987527968,0.987046504,0.967527506,0.085,0.909896627,0.915057818,0.995332658
"{'widths': [64, 32], 'act_mlp': 'gelu', 'cnn_layers': [2, 4], 'kernel_size': 3, 'act_cnn': 'gelu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.0001}",0.948479801,0.951772891,0.1071875,0.10125,0.90031017,0.905821539,0.905208709,0.910207201,0.987820004,0.988075904,0.970903166,0.075,0.921475257,0.925263952,0.995401183
