config,cv_train_qwk,cv_val_qwk,cv_train_mae,cv_val_mae,cv_train_macro_f1,cv_val_macro_f1,cv_train_bacc,cv_val_bacc,cv_train_roc_auc,cv_val_roc_auc,test_qwk,test_mae,test_macro_f1,test_bacc,test_roc_auc
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [24, 48], 'kernel_size': 3, 'act_cnn': 'gelu', 'optimizer': 'adamw', 'lr': 0.0001}",0.9526543762635556,0.9560722904504427,0.09812499999999999,0.0925,0.9077252559724627,0.9126525272336407,0.9104358361952671,0.914535284697949,0.9882299004265718,0.9869098278760295,0.9737197777444061,0.07,0.9256301010894481,0.9317244846656612,0.9945472300143239
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [64, 128], 'kernel_size': 3, 'act_cnn': 'gelu', 'optimizer': 'adamw', 'lr': 0.0001}",0.9502242475999022,0.9559931004682095,0.10406249999999999,0.09125000000000001,0.9013948039232776,0.9150487876342647,0.9025007174791566,0.9161511933516089,0.9884404710283642,0.9874661453761171,0.9756772938182907,0.065,0.9303545493605979,0.935570638511815,0.9955441043818418
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [28, 56], 'kernel_size': 3, 'act_cnn': 'gelu', 'optimizer': 'adamw', 'lr': 0.0001}",0.9522306745646084,0.9556896701186506,0.099375,0.09375,0.9067978421975642,0.9112571217822347,0.909331102373432,0.9131459093856986,0.9874760021805337,0.9864880003805887,0.9718299278846154,0.075,0.9196444540385089,0.9236048265460031,0.9949520943051998
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [200, 400], 'kernel_size': 3, 'act_cnn': 'gelu', 'optimizer': 'adamw', 'lr': 0.0001}",0.9526414826651608,0.9556728656852169,0.0959375,0.09,0.9114880166100472,0.9159052344012061,0.9141790684733616,0.9184873896005561,0.9898947643131539,0.9889322053446312,0.9719605204127412,0.075,0.9202177600783773,0.9268225238813474,0.9945302968156976
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [100, 200], 'kernel_size': 3, 'act_cnn': 'gelu', 'optimizer': 'adamw', 'lr': 0.0001}",0.9509517332014916,0.9554989585555809,0.10093749999999999,0.095,0.9056851825945655,0.9095931726193303,0.9082774655094731,0.9118957980089645,0.9882317685657854,0.9873587396688333,0.970131421744325,0.08,0.9150941404930767,0.9221216691804928,0.9941809467728652
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [164, 328], 'kernel_size': 3, 'act_cnn': 'gelu', 'optimizer': 'adamw', 'lr': 0.0001}",0.9514659773236053,0.9554552487575855,0.0996875,0.0925,0.9069450394214214,0.913780941948725,0.9090054362528062,0.9156833355465019,0.9878228540297196,0.9874292681107628,0.9776818925755096,0.06,0.9366484821649766,0.9421820010055304,0.9943090177564762
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [8, 16], 'kernel_size': 3, 'act_cnn': 'gelu', 'optimizer': 'adamw', 'lr': 0.0001}",0.9495360063973276,0.9553391621342241,0.11000000000000001,0.0925,0.8940491229145062,0.913454964507428,0.8942542042089178,0.9130797362707451,0.9839800184846583,0.9838818139947605,0.9756772938182907,0.065,0.9303545493605979,0.935570638511815,0.9954108378375099
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [16, 32], 'kernel_size': 3, 'act_cnn': 'gelu', 'optimizer': 'adamw', 'lr': 0.0001}",0.9474796705468826,0.9552178050350383,0.11499999999999999,0.09374999999999999,0.8885303942434877,0.9120151193881758,0.8884388107409393,0.911892435067708,0.9842907221633187,0.9843616621315636,0.9718552987090964,0.075,0.9200694617299905,0.9253142282554048,0.9950126852654442
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [256, 512], 'kernel_size': 3, 'act_cnn': 'gelu', 'optimizer': 'adamw', 'lr': 0.0001}",0.951522285630069,0.9550013405362765,0.10062499999999999,0.09625,0.9055301555254489,0.9087737012564819,0.9087293876232417,0.9120508622361321,0.9889713888702456,0.9874963318502296,0.9776818925755096,0.06,0.9366484821649766,0.9421820010055304,0.9943846636972218
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [128, 256], 'kernel_size': 3, 'act_cnn': 'gelu', 'optimizer': 'adamw', 'lr': 0.0001}",0.9505844508673755,0.9548641673205915,0.10281250000000001,0.09625,0.9036429579920812,0.9086020023171482,0.9060253918538409,0.9105788673905633,0.9879915969449625,0.9867758623120849,0.9697107375435409,0.08,0.9152344593289475,0.92061337355455,0.9946694145414543
