config,cv_train_qwk,cv_val_qwk,cv_train_mae,cv_val_mae,cv_train_macro_f1,cv_val_macro_f1,cv_train_bacc,cv_val_bacc,cv_train_roc_auc,cv_val_roc_auc,test_qwk,test_mae,test_macro_f1,test_bacc,test_roc_auc
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [8, 16], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.963526262,0.967689017,0.06875,0.06,0.939015543,0.948366039,0.941961382,0.951502734,0.995564184,0.993466483,0.977764601,0.06,0.936141039,0.939819005,0.994399635
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [16, 32], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.963861769,0.967537677,0.0678125,0.06125,0.940605916,0.946093709,0.942571996,0.947596479,0.995695952,0.99291608,0.969655591,0.08,0.914486032,0.914177979,0.989671404
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [24, 48], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.963049628,0.967250764,0.07125,0.065,0.936230472,0.940823789,0.937316699,0.941873019,0.994234312,0.992218643,0.963562442,0.095,0.901749369,0.909276018,0.995335243
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [256, 512], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.962768039,0.966958278,0.07,0.06625,0.938095515,0.939939159,0.940612737,0.942133669,0.995839774,0.991890328,0.964773064,0.095,0.899937177,0.9086727,0.993898423
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [28, 56], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.964472947,0.966655681,0.0653125,0.06375,0.943462565,0.944196243,0.944367171,0.946625237,0.996157302,0.99308765,0.972094062,0.075,0.918146458,0.916968326,0.993392948
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [32, 64], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.963516236,0.96623414,0.069375,0.0675,0.938105457,0.938614904,0.939370436,0.93944093,0.99480134,0.992618168,0.970193741,0.08,0.912861921,0.908396179,0.992601414
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [126, 168], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.960866925,0.966041776,0.075625,0.065,0.931559901,0.942383109,0.931091631,0.941479242,0.994932015,0.992414533,0.957456683,0.11,0.888297433,0.898793363,0.994080352
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [40, 80], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.965164434,0.965780703,0.0634375,0.06125,0.945719011,0.947752096,0.947627181,0.948776423,0.996176519,0.993348989,0.979590322,0.055,0.940686904,0.94668175,0.995415455
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [2, 4], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.963073651,0.965643743,0.0678125,0.065,0.940723174,0.943133754,0.941621054,0.944202519,0.994507555,0.99257416,0.971910112,0.075,0.919952788,0.923604827,0.993819262
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [48, 96], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.965623324,0.965579912,0.0640625,0.0625,0.944049289,0.946298365,0.946052954,0.946392584,0.995961278,0.993203313,0.971211423,0.075,0.920938177,0.923353444,0.993365323
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [12, 24], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.962225155,0.965547824,0.0721875,0.0675,0.935562797,0.939216657,0.936741361,0.938974413,0.994824604,0.993272872,0.969446991,0.08,0.915813963,0.918853695,0.992889494
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [4, 8], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.958131271,0.96544647,0.0803125,0.06625,0.928205247,0.941240835,0.929380921,0.942502473,0.99372343,0.993050121,0.975449464,0.065,0.930750859,0.933408748,0.995515715
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [84, 168], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.9662432,0.965310912,0.0628125,0.0625,0.944863572,0.946023743,0.946031008,0.94685529,0.995884379,0.992988409,0.966897161,0.09,0.902025615,0.909351433,0.995757759
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [20, 40], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.963461819,0.964858399,0.0678125,0.06625,0.940777222,0.940979587,0.942791128,0.943877428,0.995413831,0.993205739,0.971560746,0.075,0.921959707,0.928280543,0.994429784
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [100, 256], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.964504818,0.964792171,0.0659375,0.06375,0.942218069,0.945017161,0.945339367,0.948128343,0.995885786,0.992643214,0.971668178,0.075,0.921214756,0.92571644,0.994869741
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [200, 400], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.961590676,0.964452349,0.073125,0.07,0.933993018,0.937122605,0.935023281,0.937929789,0.994625323,0.992003475,0.969216561,0.08,0.915340474,0.914781297,0.993003501
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [64, 128], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.96483734,0.964298167,0.065625,0.065,0.942463872,0.943795005,0.94426823,0.944846396,0.996592893,0.992322797,0.973472791,0.07,0.925134191,0.923328306,0.991762594
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [128, 256], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.964549705,0.964211654,0.0675,0.06625,0.939883826,0.942108749,0.940777683,0.941565133,0.995559752,0.993441741,0.97462297,0.07,0.924386987,0.929411765,0.995522342
"{'widths': [64, 32], 'act_mlp': 'relu', 'cnn_layers': [164, 328], 'kernel_size': 3, 'act_cnn': 'relu', 'lstm_hidden_size': 32, 'lstm_layers': 2, 'optimizer': 'adamw', 'lr': 0.01}",0.961803623,0.963281479,0.0740625,0.06875,0.933479695,0.939691294,0.93354867,0.939939826,0.994444748,0.99157053,0.973794549,0.07,0.924398025,0.92745098,0.994385037
