tanu,arrival_time_w1,w1_total_flow_first10s,h_step1,h_step2,h_step3,h_step4,h_step5,h_step6,h_step7,h_step8,h_step9,h_step10,v_step1,v_step2,v_step3,v_step4,v_step5,v_step6,v_step7,v_step8,v_step9,v_step10,f_step1,f_step2,f_step3,f_step4,f_step5,f_step6,f_step7,f_step8,f_step9,f_step10,arrival_time_w2,interval_w1_w2,w2_max_h,w2_max_v,w2_max_q,w2_total_flow
0.500000,7.128000,365.690000,0.792600,1.131000,1.191000,1.221000,1.195000,1.150000,1.140000,1.149000,1.107000,1.052000,7.032000,5.841000,5.253000,4.573000,4.132000,3.679000,3.227000,2.978000,2.668000,2.350000,44.580000,52.870000,50.030000,44.670000,39.520000,33.830000,29.440000,27.360000,23.620000,19.770000,25.340000,18.212000,0.360500,4.774000,15.540000,202.830000
0.522200,7.631000,309.860000,0.888000,1.074000,1.170000,1.210000,1.146000,1.094000,1.096000,1.087000,1.050000,1.000000,6.380000,5.239000,4.770000,4.088000,3.566000,3.119000,2.748000,2.382000,1.980000,1.738000,45.320000,45.000000,44.670000,39.560000,32.680000,27.290000,24.090000,20.710000,16.640000,13.900000,26.860000,19.229000,0.315600,4.022000,12.400000,131.093000
0.544400,8.131000,256.363000,0.909400,1.071000,1.137000,1.117000,1.048000,1.046000,1.084000,1.016000,1.030000,0.956600,5.627000,4.816000,4.242000,3.630000,3.059000,2.592000,2.188000,1.763000,1.529000,1.295000,40.940000,41.250000,38.570000,32.430000,25.650000,21.690000,18.980000,14.330000,12.610000,9.913000,28.610000,20.479000,0.246900,3.433000,8.122000,75.616000
0.566700,7.900000,224.736000,0.747200,0.910000,1.061000,1.094000,1.053000,1.049000,1.015000,0.981700,0.964100,0.968900,5.731000,4.755000,4.186000,3.595000,2.954000,2.447000,1.906000,1.491000,1.154000,0.948900,34.260000,34.620000,35.530000,31.470000,24.870000,20.540000,15.480000,11.710000,8.901000,7.355000,31.450000,23.550000,0.179900,2.844000,4.377000,36.165000
0.588900,7.880000,187.853000,0.632500,0.828800,0.969300,1.029000,1.018000,1.000000,0.972800,0.954400,0.915400,0.873800,5.541000,4.628000,3.907000,3.350000,2.733000,2.173000,1.594000,1.151000,0.818800,0.630300,28.040000,30.680000,30.300000,27.590000,22.260000,17.380000,12.410000,8.790000,5.996000,4.407000,36.370000,28.490000,0.080310,2.015000,1.504000,5.818000
0.611100,8.545000,139.378000,0.682500,0.846000,0.931300,0.923700,0.951900,0.951500,0.905200,0.874300,0.852400,0.804000,4.798000,3.971000,3.306000,2.698000,2.063000,1.494000,0.940100,0.556100,0.326700,0.267700,26.200000,26.880000,24.630000,19.940000,15.710000,11.370000,6.808000,3.890000,2.228000,1.722000,,,0.000000,0.000000,0.000000,0.000000
0.633300,8.222000,112.766700,0.532800,0.677200,0.812300,0.836300,0.839200,0.859500,0.842700,0.801400,0.771200,0.772100,4.776000,4.063000,3.306000,2.571000,2.001000,1.420000,0.771200,0.307600,0.119400,0.097620,20.360000,22.010000,21.490000,17.200000,13.430000,9.766000,5.199000,1.972000,0.736700,0.603000,,,0.000000,0.000000,0.000000,0.000000
0.655600,8.858000,75.357600,0.511300,0.644700,0.722900,0.771800,0.765000,0.749900,0.734600,0.718900,0.704800,0.691500,4.155000,3.337000,2.687000,1.987000,1.249000,0.674900,0.175800,0.026850,0.034280,0.047880,17.000000,17.210000,15.540000,12.270000,7.643000,4.049000,1.033000,0.154400,0.193300,0.264900,,,0.000000,0.000000,0.000000,0.000000
0.677800,8.576000,58.511400,0.411400,0.502600,0.579000,0.607300,0.623200,0.617800,0.613200,0.603200,0.588900,0.577100,4.102000,3.386000,2.625000,1.921000,1.266000,0.585400,0.077670,0.021590,0.022460,0.024140,13.500000,13.610000,12.160000,9.333000,6.312000,2.894000,0.381000,0.104200,0.105800,0.111400,,,0.000000,0.000000,0.000000,0.000000
0.700000,9.328000,34.572830,0.392200,0.460600,0.491300,0.500300,0.491700,0.501000,0.499700,0.495100,0.491200,0.488000,3.370000,2.608000,1.862000,1.156000,0.526500,0.043770,0.014100,0.012530,0.012190,0.011140,10.570000,9.611000,7.320000,4.628000,2.071000,0.175400,0.056380,0.049650,0.047910,0.043490,,,0.000000,0.000000,0.000000,0.000000
0.500000,7.791000,368.490000,1.192000,1.251000,1.290000,1.296000,1.271000,1.155000,1.154000,1.124000,1.032000,1.014000,6.313000,5.436000,4.855000,4.304000,3.789000,3.453000,2.981000,2.736000,2.386000,2.084000,60.180000,54.410000,50.100000,44.630000,38.520000,31.910000,27.520000,24.610000,19.700000,16.910000,25.040000,17.249000,0.393100,4.845000,17.990000,222.800000
0.522200,7.365000,337.610000,0.862600,1.171000,1.192000,1.309000,1.245000,1.190000,1.158000,1.160000,1.062000,1.041000,6.637000,5.427000,4.888000,4.314000,3.757000,3.236000,2.761000,2.442000,2.086000,1.794000,45.800000,50.860000,46.610000,45.180000,37.430000,30.810000,25.580000,22.660000,17.730000,14.950000,26.660000,19.295000,0.352700,4.322000,14.260000,157.271000
